title,regular_price,sale_price,img_url,href
FORCE USA RUBBER COATED OLYMPIC WEIGHT PLATES - LB,$494.95,$29.99,https://cdn.shopify.com/s/files/1/1963/1339/products/RubberCoated-LBS_270x270.jpg?v=1603734060,https://www.forceusa.com/collections/in-stock/products/rubber-coated-olympic-weight-plates-lbs
FORCE USA PRO GRADE COLORED BUMPER PLATES (KG),$575.93,$45.99,https://cdn.shopify.com/s/files/1/1963/1339/products/Pro-Grade-Bumbers-kg_270x270.jpg?v=1603734604,https://www.forceusa.com/collections/in-stock/products/pro-grade-colored-bumper-plates
FORCE USA RUBBER COATED OLYMPIC WEIGHT PLATES - KG,$479.93,$9.99,https://cdn.shopify.com/s/files/1/1963/1339/products/RubberCoated-KG_270x270.jpg?v=1603733670,https://www.forceusa.com/collections/in-stock/products/rubber-coated-olympic-weight-plates-kg
GUNNER BARBELL (ALL-ROUNDER),$499.99,$249.99,https://cdn.shopify.com/s/files/1/1963/1339/products/gunner-bearings_79fc7833-3ecc-49b9-8183-c8391cebfa13_270x270.jpg?v=1575938269,https://www.forceusa.com/collections/in-stock/products/gunner-barbell
PATRIOT BARBELL (ALL-ROUNDER),$369.99,$229.99,https://cdn.shopify.com/s/files/1/1963/1339/products/patriot-end-3_270x270.jpg?v=1569127499,https://www.forceusa.com/collections/in-stock/products/patriot-barbell
FREEDOM BARBELL (WOMEN'S 25MM SHAFT),$269.99,$229.99,https://cdn.shopify.com/s/files/1/1963/1339/products/freedom-end-3_270x270.jpg?v=1569127502,https://www.forceusa.com/collections/in-stock/products/freedom-barbell
RANGER BARBELL (ALL-ROUNDER),$299.99,$239.99,https://cdn.shopify.com/s/files/1/1963/1339/products/ranger-end-3_270x270.jpg?v=1569127488,https://www.forceusa.com/collections/in-stock/products/ranger-barbell
POWERLIFTING BARBELL,$599.99,$299.99,https://cdn.shopify.com/s/files/1/1963/1339/products/powerbar-end-3_270x270.jpg?v=1569081776,https://www.forceusa.com/collections/in-stock/products/powerlifting-barbell
SUPER BANDS,$15.99,$14.99,https://cdn.shopify.com/s/files/1/1963/1339/products/all-bands_270x270.jpg?v=1571181159,https://www.forceusa.com/collections/in-stock/products/super-bands
MYRACK BOX TUBE SAFETIES,$118.99,$99.99,https://cdn.shopify.com/s/files/1/1963/1339/products/box-tube-5_270x270.jpg?v=1602698147,https://www.forceusa.com/collections/in-stock/products/myrack-box-tube-attachment
G3 STABILIZER BAR,$249.99,$159.99,https://cdn.shopify.com/s/files/1/1963/1339/products/StabilizerBar-v2_62708248-7e7d-4b57-b9b6-c418f78b4b0a_270x270.jpg?v=1632775469,https://www.forceusa.com/collections/in-stock/products/g3-stabilizer-attachment
G3 STRAIGHT CHIN-UP BARS,$109.99,$89.99,https://cdn.shopify.com/s/files/1/1963/1339/products/straight-chin-up-bar_270x270.jpg?v=1550789000,https://www.forceusa.com/collections/in-stock/products/g3-straight-chin-up-bars
MYRACK MONKEY BAR,$109.99,$99.99,https://cdn.shopify.com/s/files/1/1963/1339/products/chin-up-monkey_270x270.jpg?v=1602699582,https://www.forceusa.com/collections/in-stock/products/myrack-monkey-bar-chin-up-attachment
MYRACK CABLE CROSSOVER (ONE SIDE),$465.99,$429.99,https://cdn.shopify.com/s/files/1/1963/1339/products/crossover-both_2d4c3eef-2737-486c-9332-614fec8d16c6_270x270.jpg?v=1499712586,https://www.forceusa.com/collections/in-stock/products/myrack-cable-crossover-attachment
MYRACK SAFETY SLINGS,$110.99,$99.99,https://cdn.shopify.com/s/files/1/1963/1339/products/straps-temp_270x270.jpg?v=1625067798,https://www.forceusa.com/collections/in-stock/products/myracks-safety-slings-attachment
MYRACK CLASSIC GRIP CHIN-UP BAR,$123.99,$109.99,https://cdn.shopify.com/s/files/1/1963/1339/products/chinup-classic_270x270.jpg?v=1499708800,https://www.forceusa.com/collections/in-stock/products/myrack-chin-up-bar
MYRACK GLOBE GRIP CHIN-UP BAR,$181.99,$169.99,https://cdn.shopify.com/s/files/1/1963/1339/products/chin-up-globe_270x270.jpg?v=1602699635,https://www.forceusa.com/collections/in-stock/products/myrack-global-grip-chin-up-bar-attachment
MYRACK MONOLIFT SYSTEM,$228.99,$199.99,https://cdn.shopify.com/s/files/1/1963/1339/products/monolift-4_270x270.jpg?v=1602697686,https://www.forceusa.com/collections/in-stock/products/myrack-mono-lift-attachment
MYRACK LAT PULL DOWN AND LOW ROW,$336.99,$299.99,https://cdn.shopify.com/s/files/1/1963/1339/products/lat-pull-down_270x270.jpg?v=1499712554,https://www.forceusa.com/collections/in-stock/products/myrack-lat-pulldown-attachment
MYRACK DELUXE J-HOOKS,$90.99,$79.99,https://cdn.shopify.com/s/files/1/1963/1339/products/jhook-deluxe-4_270x270.jpg?v=1602699291,https://www.forceusa.com/collections/in-stock/products/myrack-deluxe-j-hook-attachment
MYRACK STANDARD J-HOOKS,$56.99,$49.99,https://cdn.shopify.com/s/files/1/1963/1339/products/jhook-1_270x270.jpg?v=1602629601,https://www.forceusa.com/collections/in-stock/products/myrack-j-hook-attachment
MYRACK SAFETY SPOTTER ARMS,$112.99,$99.99,https://cdn.shopify.com/s/files/1/1963/1339/products/spotter-arms-4_270x270.jpg?v=1602699125,https://www.forceusa.com/collections/in-stock/products/myrack-safety-spotter-arms-attachment
MYRACK DIP HANDLE,$123.99,$79.99,https://cdn.shopify.com/s/files/1/1963/1339/products/diphandle-1_270x270.jpg?v=1602697878,https://www.forceusa.com/collections/in-stock/products/myrack-dip-handle-attachment
MYRACK LAT PULL DOWN SEAT FOR CABLE CROSSOVER,$189.99,$149.99,https://cdn.shopify.com/s/files/1/1963/1339/products/crossover-seat_270x270.jpg?v=1499712655,https://www.forceusa.com/collections/in-stock/products/myrack-lat-pull-down-seat-attachment
MYRACK BAND PEGS,$21.99,$19.99,https://cdn.shopify.com/s/files/1/1963/1339/products/bandpegs_270x270.jpg?v=1602625675,https://www.forceusa.com/collections/in-stock/products/myrack-band-pegs-attachment
MYRACK KNEE HOLDER KIT FOR LAT ATTACHMENT,$119.99,$99.99,https://cdn.shopify.com/s/files/1/1963/1339/products/knee-holder_270x270.jpg?v=1499712529,https://www.forceusa.com/collections/in-stock/products/myrack-knee-holder-attachment
MYRACK WEIGHT PLATE HOLDERS,$56.99,$49.99,https://cdn.shopify.com/s/files/1/1963/1339/products/weight-holder-four2_270x270.jpg?v=1602628981,https://www.forceusa.com/collections/in-stock/products/myrack-weight-plate-holders-attachment
FORCE USA FLAT BRIM HAT,$34.99,$19.99,https://cdn.shopify.com/s/files/1/1963/1339/products/black-flat-bill_270x270.jpg?v=1572639563,https://www.forceusa.com/collections/in-stock/products/flat-hat
FORCE USA T-SHIRTS,$34.99,$19.99,https://cdn.shopify.com/s/files/1/1963/1339/products/t-shirt-mens-blue_270x270.jpg?v=1572887904,https://www.forceusa.com/collections/in-stock/products/t-shirt
FORCE USA LADIES' RACERBACK TANK,$34.99,$19.99,https://cdn.shopify.com/s/files/1/1963/1339/products/tank-womens-navy_270x270.jpg?v=1572639915,https://www.forceusa.com/collections/in-stock/products/ladies-racerback-tank
FORCE USA MEN'S MUSCLE TANK,$34.99,$19.99,https://cdn.shopify.com/s/files/1/1963/1339/products/tank-mens-navy_270x270.jpg?v=1572989187,https://www.forceusa.com/collections/in-stock/products/mens-muscle-tank
FORCE USA TRUCKER HAT,$34.99,$19.99,https://cdn.shopify.com/s/files/1/1963/1339/products/leather-patch-trucker_270x270.jpg?v=1572554969,https://www.forceusa.com/collections/in-stock/products/trucker-hat
PROFESSIONAL ASSEMBLY SERVICE,$699.99,$299.99,https://cdn.shopify.com/s/files/1/1963/1339/products/assembly-Generic_270x270.jpg?v=1634666490,https://www.forceusa.com/collections/in-stock/products/professional-assembly-service
FORCE USA MYBENCH,$449.99,$379.99,https://cdn.shopify.com/s/files/1/1963/1339/products/bench-leg-left_270x270.jpg?v=1621266413,https://www.forceusa.com/collections/in-stock/products/mybench
MYRACK LANDMINE,$89.99,$79.99,https://cdn.shopify.com/s/files/1/1963/1339/products/landmine-1_5bf06551-8c79-420c-b208-2dcc5819fd0e_270x270.jpg?v=1602708772,https://www.forceusa.com/collections/in-stock/products/myrack-landmine-attachment
